date,open,close,high,low,volume,change,pct_change
2016-12-29,3297.0400,3297.7600,3312.1100,3288.1000,70087923,-4.1300,-0.0013
2016-12-30,3302.6000,3310.0800,3313.5500,3295.7500,71744116,12.3200,0.0037
2017-01-03,3313.9500,3342.2300,3345.2600,3313.9500,86567896,32.1500,0.0097
2017-01-04,3340.5600,3368.3100,3369.5700,3338.1500,90050827,26.0800,0.0078
2017-01-05,3368.3400,3367.7900,3373.4100,3361.4600,88336357,-0.5200,-0.0002
2017-01-06,3366.8500,3347.6700,3368.8700,3346.8900,87459114,-20.1200,-0.0060
2017-01-09,3345.7500,3363.9000,3366.2200,3344.3500,83707942,16.2300,0.0048
2017-01-10,3361.6400,3358.2700,3370.5100,3354.0900,83819160,-5.6300,-0.0017
2017-01-11,3355.8000,3334.5000,3366.6300,3334.3000,91071438,-23.7700,-0.0071
2017-01-12,3332.6900,3317.6200,3343.1300,3315.9600,81239135,-16.8800,-0.0051
2017-01-13,3317.9600,3319.9100,3338.1700,3309.3700,84180589,2.2900,0.0007
2017-01-16,3314.1500,3319.4500,3322.7800,3264.2100,157779135,-0.4600,-0.0001
2017-01-17,3305.6000,3326.3600,3327.3800,3292.2000,69453328,6.9100,0.0021
2017-01-18,3323.3400,3339.3700,3350.9600,3320.4100,70623227,13.0100,0.0039
2017-01-19,3330.9500,3329.2900,3346.5000,3324.6800,66159808,-10.0800,-0.0030
2017-01-20,3326.9800,3354.8900,3358.4100,3326.3700,65300462,25.6000,0.0077
2017-01-23,3359.0500,3364.0800,3378.7400,3355.8500,75557498,9.1900,0.0027
2017-01-24,3363.1400,3364.4500,3371.3200,3355.9000,66194226,0.3700,0.0001
2017-01-25,3361.6600,3375.9000,3376.4400,3357.2200,58376931,11.4500,0.0034
2017-01-26,3378.2600,3387.9600,3395.8800,3378.2600,65316647,12.0600,0.0036
2017-02-03,3390.9300,3364.4900,3392.4800,3362.5700,55188861,-23.4700,-0.0069
2017-02-06,3368.1100,3373.2100,3381.3300,3358.7500,68521360,8.7200,0.0026
2017-02-07,3371.7700,3365.6800,3376.7100,3354.6200,63754462,-7.5300,-0.0022
2017-02-08,3361.7800,3383.2900,3383.6900,3347.4300,75402879,17.6100,0.0052
2017-02-09,3381.9000,3396.2900,3406.5900,3379.7900,97558515,13.0000,0.0038
